id,fixture_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_xg,away_xg,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_possession,away_possession,home_fouls,away_fouls,home_offsides,away_offsides,home_pass_accuracy,away_pass_accuracy,home_goals_ht,away_goals_ht,stats_fetched_at,home_xg_ht,away_xg_ht
311725,615573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,
160383,248596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160384,248597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160381,248594,10,7,6,1,0,0,0,0,0,0,0,0,0,0,2,2,4,3,0,0,,,,,,,,,0,0,,,
160385,248598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160386,248599,0,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,,,,,,,,,0,1,,,
80093,143963,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,0,,,0,0,0,0,,,1,0,2026-03-10 11:47:30.366579+00,,
160374,248587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
80094,144027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,,,
77071,137278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2026-03-10 12:18:34.033336+00,,
138147,218987,8,12,5,5,4,8,4,4,0,4,1,0,1.25,1.06,3,5,2,4,0,0,37,63,15,18,2,3,78,86,1,2,,,
108278,185611,10,7,4,2,6,5,4,2,1,1,1,0,1.48,0.65,4,3,3,3,0,0,50,50,16,15,3,2,88,83,0,0,,,
108280,185613,10,12,5,4,9,7,1,5,1,6,0,0,1.07,0.98,5,7,0,1,0,0,37,63,8,10,0,0,77,85,0,0,,,
108281,185614,16,14,6,4,12,7,4,7,1,3,0,0,1.52,1.05,6,5,0,0,0,0,67,33,14,8,0,4,88,74,1,0,,,
108282,185615,9,15,3,4,6,8,3,7,3,4,0,0,0.8,1.17,4,5,1,2,0,0,42,58,13,7,4,0,83,91,0,2,,,
29119,29129,10,8,2,3,6,5,4,3,4,2,0,1,0.83,1.33,1,5,2,6,0,0,47,53,7,17,2,7,79,83,1,0,,,
160379,248592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
80092,145418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2026-03-10 11:57:57.375505+00,,
160380,248593,0,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,0,0,0,0,0,,,,,,,,,1,1,,,
160388,248601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
80095,113520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,2026-03-10 11:43:52.656922+00,,
160389,248602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160390,248603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160387,248600,6,8,3,4,0,0,0,0,0,0,0,0,0,0,5,10,2,1,0,0,,,,,,,,,0,0,,,
160392,248605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,
160395,248608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,,,
160393,248606,13,6,7,4,0,0,0,0,0,0,0,0,0,0,16,4,0,4,0,0,,,,,,,,,0,2,,,
160397,248610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,,,
160398,248611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,2,0,,,
