id,fixture_id,home_win,draw,away_win,bookmaker,source
16392,16421,1.85,3.4,4.0,Bet365,CSV
16393,16422,2.62,3.2,2.75,Bet365,CSV
16394,16423,2.6,3.2,2.7,Bet365,CSV
16395,16424,1.75,3.75,4.5,Bet365,CSV
16396,16425,2.8,3.2,2.55,Bet365,CSV
16397,16426,2.0,3.4,3.6,Bet365,CSV
16398,16427,2.25,3.3,3.2,Bet365,CSV
16399,16428,2.37,3.25,3.0,Bet365,CSV
16400,16429,2.8,3.25,2.5,Bet365,CSV
16401,16430,2.3,3.2,3.3,Bet365,CSV
16402,16431,2.25,3.2,3.25,Bet365,CSV
16403,16432,1.57,3.75,5.75,Bet365,CSV
16404,16433,2.37,3.2,3.0,Bet365,CSV
16405,16434,3.3,3.2,2.2,Bet365,CSV
16406,16435,1.95,3.5,3.75,Bet365,CSV
16407,16436,2.7,3.2,2.6,Bet365,CSV
16408,16437,1.8,3.6,4.5,Bet365,CSV
16409,16438,2.2,3.2,3.25,Bet365,CSV
16410,16439,2.1,3.3,3.4,Bet365,CSV
16411,16440,1.9,3.4,3.8,Bet365,CSV
16412,16441,1.72,3.75,4.2,Bet365,CSV
16413,16442,2.15,3.3,3.3,Bet365,CSV
16414,16443,1.75,3.75,4.5,Bet365,CSV
16415,16444,2.45,3.25,2.8,Bet365,CSV
16416,16445,1.66,3.8,4.75,Bet365,CSV
16417,16446,2.9,3.1,2.5,Bet365,CSV
16418,16447,3.8,3.3,1.85,Bet365,CSV
16419,16448,2.5,3.2,2.6,Bet365,CSV
16420,16449,2.75,3.2,2.4,Bet365,CSV
16421,16450,2.0,3.3,3.4,Bet365,CSV
16422,16451,3.0,3.25,2.25,Bet365,CSV
16423,16452,2.5,3.2,2.62,Bet365,CSV
16424,16453,1.57,3.75,5.5,Bet365,CSV
16425,16454,2.1,3.3,3.2,Bet365,CSV
16426,16455,2.25,3.2,3.0,Bet365,CSV
16427,16456,2.3,3.25,2.8,Bet365,CSV
16428,16457,2.15,3.0,3.3,Bet365,CSV
16429,16458,2.9,3.2,2.25,Bet365,CSV
16430,16459,1.8,3.4,4.2,Bet365,CSV
16431,16460,2.3,3.3,2.8,Bet365,CSV
16432,16461,1.8,3.3,4.2,Bet365,CSV
16433,16462,2.15,3.2,3.2,Bet365,CSV
16434,16463,2.1,3.25,3.3,Bet365,CSV
16435,16464,2.2,3.25,3.1,Bet365,CSV
16436,16465,1.5,3.75,6.0,Bet365,CSV
16437,16466,2.4,3.25,2.75,Bet365,CSV
16438,16467,2.6,3.3,2.7,Bet365,CSV
16439,16468,2.3,3.3,3.2,Bet365,CSV
16440,16469,1.83,3.5,4.5,Bet365,CSV
16441,16470,2.1,3.4,3.5,Bet365,CSV
16442,16471,2.4,3.25,3.0,Bet365,CSV
16443,16472,1.85,3.4,4.5,Bet365,CSV
16444,16473,2.15,3.4,3.4,Bet365,CSV
16445,16474,3.6,3.4,2.05,Bet365,CSV
16446,16475,2.15,3.3,3.5,Bet365,CSV
16447,16476,1.9,3.6,4.0,Bet365,CSV
