id,name,api_football_id,fd_name,rating_mu,rating_sigma
32,Millwall,58.0,Millwall,1503.3302151750506,2.2287509656086493
33,Hull,64.0,Hull,1503.3764229874866,2.23974799787407
34,Plymouth,1357.0,Plymouth,1502.8203228717923,2.3013669341377603
35,Huddersfield,37.0,Huddersfield,1500.183785108926,2.242282440866974
36,Stoke,75.0,Stoke,1503.006890224069,2.1970436094351222
37,Rotherham,73.0,Rotherham,1495.3341233701976,2.288582902556199
38,Swansea,76.0,Swansea,1502.6285993242286,2.22129205086922
39,Birmingham,54.0,Birmingham,1501.1727933208806,2.222027589669922
40,QPR,72.0,QPR,1502.2755723223208,2.2638745727393754
41,Coventry,1346.0,Coventry,1505.1269586490505,2.207229218651757
42,Cardiff,43.0,Cardiff,1502.0272274419922,2.2145803542033766
43,Sunderland,746.0,Sunderland,1501.3190893552094,2.2418857860568138
44,Ipswich,57.0,Ipswich,1509.7482928462057,2.332817911740056
45,Blackpool,1356.0,Blackpool,1494.6302725593027,2.240402238295854
46,Reading,53.0,Reading,1492.4957328915189,2.2388958968744124
47,Wigan,61.0,Wigan,1494.0329713222131,2.254489523158849
48,Barnsley,747.0,Barnsley,1494.052473181344,2.271340911626254
49,Derby,69.0,Derby,1495.2326309437028,2.242605592926621
50,Peterboro,1350.0,Peterboro,1493.3576362328754,2.238400523589891
51,Wycombe,1358.0,Wycombe,1493.3270710788277,2.210137228623754
52,Charlton,1335.0,Charlton,1489.4911141701064,2.2102182215986805
53,Port Vale,1351.0,Port Vale,1484.6675094908178,2.2596971407948483
54,Burton,748.0,Burton,1487.1427106859733,2.2422045633362204
55,Bolton,68.0,Bolton,1494.9263198396445,2.2992032221475225
56,Lincoln,1379.0,Lincoln,1492.4969774602826,2.2214237824140377
57,Cambridge,1370.0,Cambridge,1486.8914098609143,2.2344018720766976
58,Oxford,1338.0,Oxford,1491.8863980839199,2.2047168065481406
59,Carlisle,1371.0,Carlisle,1479.618431730866,2.4661245905161695
60,Fleetwood Town,1336.0,Fleetwood Town,1489.1250894476434,2.2131678931088037
61,Leyton Orient,1373.0,Leyton Orient,1489.0856009634722,2.3232807973566634
62,Northampton,1337.0,Northampton,1486.3294676055416,2.3786114103615517
63,Stevenage,1368.0,Stevenage,1488.2320808337374,2.294544626128626
64,Portsmouth,1355.0,Portsmouth,1496.386617368873,2.25267785561681
65,Bristol Rvs,1334.0,Bristol Rvs,1488.3177213546055,2.280419740142593
66,Shrewsbury,1352.0,Shrewsbury,1486.685110678691,2.228486020817491
67,Cheltenham,1372.0,Cheltenham,1486.8194751661617,2.226493717034231
68,Exeter,1364.0,Exeter,1491.0453599468094,2.2497287341176597
69,Accrington,1360.0,Accrington,1476.813512535307,2.2916857136426803
70,Forest Green,1378.0,Forest Green,1473.8761989253135,2.4596820853508787
71,Milton Keynes Dons,1348.0,Milton Keynes Dons,1482.059125701722,2.3506409287323207
72,Morecambe,1375.0,Morecambe,1480.3336538889898,2.352731583268916
73,Crewe,1363.0,Crewe,1477.5953082859867,2.2877814211728005
74,Doncaster,1354.0,Doncaster,1480.0878347684243,2.309860184984458
75,AFC Wimbledon,1333.0,AFC Wimbledon,1476.9750748564886,2.2886744914620145
76,Gillingham,1347.0,Gillingham,1477.0432258659646,2.2948133862694444
77,Swindon,1353.0,Swindon,1474.201837840975,2.2772660043466546
78,Rochdale,,Rochdale,1468.8914920033715,3.0778224335204682
79,Southend,,Southend,1463.6933697571105,16.230739118513526
80,Tranmere,1381.0,Tranmere,1475.248757942157,2.317622159434927
81,Newport County,1367.0,Newport County,1474.6266434604745,2.301961426265829
82,Crawley Town,1362.0,Crawley Town,1476.8984196263896,2.3116363238918565
83,Bradford,1343.0,Bradford,1477.818309146687,2.2898527499954553
84,Mansfield,1374.0,Mansfield,1481.5183518150488,2.312743690875544
85,Harrogate,1842.0,Harrogate,1477.417360212133,2.3416110617096337
86,Salford,1844.0,Salford,1476.4854376466396,2.2919715213894616
87,Grimsby,1365.0,Grimsby,1474.9444750588998,2.4755619091498917
88,Walsall,1342.0,Walsall,1477.9366220957015,2.3067442628445156
89,Stockport,4686.0,Stockport,1483.8956165676352,2.846560379898857
90,Sutton,1835.0,Sutton,1473.9039950993235,2.42194713496412
91,Notts County,1376.0,Notts County,1473.5674047319171,4.802203885730789
92,Barrow,1819.0,Barrow,1477.2068415222614,2.30469133399029
93,Wrexham,1837.0,Wrexham,1484.2540475440144,4.743479180695921
94,Colchester,1361.0,Colchester,1473.2584032353936,2.357091090992823
95,Hartlepool,,Hartlepool,1470.6720919303666,3.344237726399952
96,Oldham,,Oldham,1459.4164098877518,5.349416238896507
97,Scunthorpe,,Scunthorpe,1449.59267226446,5.830706333761849
98,Macclesfield,,Macclesfield,1376.9088719434485,82.69952296174247
99,Almeria,723.0,Almeria,1525.2941038454624,3.256200023316593
