fixture_id,league_id,date_utc,calendar_year,side,is_home,shots_total,shots_on_goal,shots_inside_box,shots_outside_box,blocked_shots,corners,possession,pass_accuracy,xg
269302,24,2017-04-29 16:00:00,2017,home,true,13,5,10,3,2,6,,,1.26
208320,7,2017-02-05 14:00:00,2017,away,false,7,3,6,1,1,9,,,0.73
210099,7,2021-11-06 14:00:00,2021,home,true,7,3,3,4,1,2,41,69,0.49
278269,28,2017-11-22 22:15:00,2017,home,true,16,6,10,6,3,5,,,2.0
262729,21,2017-09-16 09:30:00,2017,away,false,14,3,9,5,4,11,,,1.21
281227,29,2022-07-17 13:00:00,2022,home,true,23,9,13,10,6,3,67,91,1.85
190359,2,2024-10-02 18:45:00,2024,away,false,7,1,4,3,3,5,66,88,0.57
229834,12,2018-10-27 11:00:00,2018,away,false,8,1,2,6,4,5,,,0.44
211090,7,2025-05-03 13:00:00,2025,home,true,13,3,9,4,4,5,39,80,1.18
230720,12,2021-09-18 18:30:00,2021,away,false,6,4,5,1,1,3,53,82,0.61
192982,3,2022-12-17 15:00:00,2022,home,true,32,13,24,8,5,7,59,75,3.04
259161,20,2016-10-03 00:00:00,2016,away,false,11,6,6,5,3,4,,,1.51
296012,37,2016-11-24 13:30:00,2016,away,false,7,3,4,3,1,2,,,0.57
245165,16,2018-12-23 13:00:00,2018,away,false,14,7,8,6,2,4,,,1.13
216554,9,2017-02-24 19:45:00,2017,away,false,11,1,9,2,3,3,,,1.11
26023,14,2023-09-30 14:30:00,2023,away,false,12,4,6,6,3,2,37,77,1.55
230260,12,2020-03-01 12:30:00,2020,home,true,13,5,9,4,2,5,,,1.18
327881,3,2026-02-07 15:01:00,2026,away,false,12,4,6,6,6,8,51,66,0.9
10129,5,2024-01-28 13:00:00,2024,away,false,15,6,7,8,4,7,60,84,1.08
374402,27,2026-05-10 12:45:00,2026,away,false,17,6,15,2,4,6,43,80,1.64
93308,57,2024-07-24 22:00:00,2024,away,false,9,5,4,5,1,4,42,76,0.64
132371,40,2024-11-24 18:00:00,2024,away,false,12,3,8,4,1,6,45,74,1.06
188848,2,2020-12-29 19:45:00,2020,home,true,7,4,6,1,3,3,42,63,0.73
273317,25,2024-09-28 15:00:00,2024,away,false,5,2,5,0,1,1,32,74,0.58
