fixture_player_id,fixture_id,player_id,cards_red,cards_yellow,dribbles_attempts,dribbles_past,dribbles_success,duels_total,duels_won,fouls_committed,fouls_drawn,games_captain,games_minutes,games_number,games_position,games_rating,games_substitute,goals_assists,goals_conceded,goals_saves,goals_total,offsides,passes_accuracy,passes_key,passes_total,penalty_commited,penalty_missed,penalty_saved,penalty_scored,penalty_won,shots_on,shots_total,tackles_blocks,tackles_interceptions,tackles_total
5435877,147272,104586,0,0,,,,,,,,false,,43.0,G,,true,,0.0,,,,,,,,0,,0,,,,,,
7536198,135644,141658,0,0,,,,,,,,false,,16.0,G,,true,,0.0,,,,,,,,0,,0,,,,,,
3059452,244138,72495,0,0,0.0,1.0,0.0,4.0,1.0,1.0,1.0,false,33.0,99.0,F,6.6,false,,,,,,100%,0.0,2.0,,0,,0,,0.0,1.0,,1.0,
2174621,222636,57954,0,0,,,,6.0,3.0,2.0,1.0,false,90.0,5.0,D,7.3,false,,0.0,,,,20,,26.0,,0,,0,,,,,4.0,2.0
2634565,233917,66372,0,0,0.0,,0.0,1.0,1.0,0.0,0.0,false,18.0,8.0,M,6.4,false,,,,,,88%,0.0,24.0,,0,,0,,0.0,0.0,0.0,0.0,
4536998,276169,68841,0,0,,,,,,,,false,,7.0,F,,true,,0.0,,,,,,,,0,,0,,,,,,
1330784,203390,51012,0,0,1.0,3.0,1.0,11.0,6.0,0.0,1.0,false,90.0,3.0,D,6.8,false,,,,,,63%,1.0,12.0,,0,,0,,0.0,0.0,0.0,1.0,
2486683,230412,62753,0,0,1.0,,1.0,8.0,5.0,,2.0,false,87.0,2.0,D,7.3,false,,0.0,,,,40,1.0,57.0,,0,,0,,,,1.0,2.0,2.0
1077597,197240,36071,0,0,,,,4.0,,,,false,24.0,9.0,F,7.2,true,0.0,0.0,,1.0,,3,,4.0,,0,,0,,1.0,1.0,,1.0,
2154934,222091,59590,0,0,0.0,,0.0,,,0.0,0.0,false,90.0,5.0,D,6.8,false,,,,,,96%,0.0,30.0,,0,,0,,0.0,1.0,1.0,1.0,
554673,185117,43945,0,0,,1.0,,9.0,4.0,1.0,,false,53.0,14.0,M,7.2,true,,0.0,,1.0,,15,1.0,24.0,,0,,0,,1.0,2.0,1.0,,
4049003,266142,84859,0,0,0.0,,0.0,2.0,1.0,2.0,0.0,false,45.0,23.0,D,7.2,true,,0.0,,,,86%,1.0,38.0,,0,,0,,0.0,0.0,1.0,0.0,
1056225,7647,42742,0,0,,,,,,,,false,,12.0,G,,true,,0.0,,,,,,,,0,,0,,,,,,
7815173,115481,146098,0,0,,,,,,,,false,9.0,41.0,M,6.5,true,,0.0,,,,,,,,0,,0,,,,,,
7275235,93506,78938,0,0,,,,2.0,2.0,,,false,31.0,17.0,M,7.2,true,,0.0,,,,23,1.0,27.0,,0,,0,,,,,,2.0
540165,184755,43382,0,0,2.0,4.0,2.0,12.0,5.0,1.0,1.0,false,90.0,8.0,M,6.6,false,,0.0,,,,50,,58.0,,0,,0,,,,2.0,,2.0
4795108,280274,95959,0,0,3.0,3.0,1.0,12.0,1.0,2.0,0.0,false,86.0,14.0,M,6.1,false,,,,,,95%,3.0,69.0,,0,,0,,0.0,1.0,0.0,0.0,
798670,190662,36412,0,0,,,,2.0,1.0,,,false,54.0,12.0,F,6.2,false,0.0,0.0,,,1.0,6,,8.0,,0,,0,,1.0,2.0,,1.0,
8560299,123780,67171,0,0,,,,4.0,4.0,,,false,34.0,20.0,D,7,true,,0.0,,,,14,1.0,19.0,,0,,0,,,,,1.0,3.0
7960454,332598,136895,0,0,,,,1.0,,,,false,61.0,55.0,M,6.3,false,0.0,0.0,,,,21,,28.0,,0,,0,,,,1.0,1.0,
7154810,322049,78646,0,0,0.0,,0.0,8.0,5.0,1.0,0.0,true,90.0,4.0,D,7.5,false,,,,,,62%,0.0,20.0,,0,,0,,0.0,0.0,,5.0,
8559231,123756,140393,0,0,7.0,,5.0,16.0,10.0,,4.0,false,90.0,7.0,M,8.3,false,2.0,0.0,,,2.0,11,4.0,12.0,,0,,0,,1.0,3.0,,1.0,1.0
1061758,7804,35133,0,0,,,,1.0,,1.0,,false,14.0,15.0,M,6.5,true,,0.0,,,,,,2.0,,0,,0,,,,,1.0,
1208113,200812,44083,0,0,,,,11.0,6.0,3.0,1.0,false,90.0,18.0,D,7.2,false,,0.0,,,,24,,28.0,,0,,0,,,,1.0,,1.0
6476862,109353,123024,0,0,,,,,,,,false,,74.0,M,,true,,0.0,,,,,,,,0,,0,,,,,,
4329223,271004,53966,0,0,,,,,,,,false,,93.0,D,,true,,0.0,,,,,,,,0,,0,,,,,,
5532029,296014,106473,0,0,2.0,,2.0,6.0,6.0,0.0,1.0,false,90.0,2.0,D,7.2,false,,,,,,82%,1.0,34.0,,0,,0,,0.0,1.0,,2.0,
3540178,255635,77485,0,0,,,,2.0,,2.0,,false,89.0,18.0,F,7.5,false,,0.0,,1.0,,16,1.0,19.0,,0,,0,,2.0,3.0,,,
9329169,355052,55378,0,0,1.0,,1.0,5.0,3.0,1.0,1.0,false,45.0,17.0,F,6.9,false,0.0,0.0,,,,14,1.0,15.0,,0,,0,,,,,,1.0
9029762,157183,129253,0,0,1.0,,,4.0,1.0,,,false,27.0,14.0,F,6.5,true,,0.0,,,,2,,2.0,,0,,0,,,,,,
869742,192575,46345,0,0,,,,12.0,9.0,,1.0,false,90.0,19.0,D,6.9,false,,0.0,,,,12,,29.0,,0,,0,,,1.0,,,1.0
669965,187809,19017,0,0,2.0,,0.0,10.0,6.0,2.0,0.0,false,90.0,12.0,D,6.4,false,,,,,,76%,0.0,20.0,,0,,0,,0.0,0.0,0.0,0.0,3.0
