id,api_football_id,date_utc,league_id,home_team_id,away_team_id,goals_home,goals_away,status,referee_name,referee_api_id,created_at,updated_at,in_csv,in_pq,merged_rows,merged_football_data,status_norm,is_played,calendar_year,btts
628678,1467602,2026-01-07 20:00:00,140,6418,6427,0,4,FT,,,2026-03-23 22:34:50.043411,2026-07-04 23:56:56.280444,true,false,0,false,FT,true,2026,false
605969,1057901,2024-04-21 11:00:00,110,6023,6030,2,1,FT,N. Choosuwan,,2026-03-23 22:31:58.945087,2026-03-23 23:16:38.75007,true,false,0,false,FT,true,2024,true
158503,933929,2022-09-09 00:30:00,93,430,960,2,0,PEN,D. Herrera,,2026-02-27 00:01:51.060209,2026-03-07 22:36:12.765776,true,true,0,false,PEN,true,2022,false
100375572,375572,2018-04-21 16:05:00,100000131,6240,729,2,2,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2018,true
279190,1334353,2025-02-15 20:00:00,28,715,729,1,1,FT,Dario Herrera,,2026-02-27 00:01:51.060209,2026-07-04 23:56:56.280444,true,true,1,true,FT,true,2025,true
525471,,2019-03-31 00:00:00,38,566,549,1,1,FT,,,2026-03-11 00:00:42.195406,2026-03-11 00:00:42.195406,true,false,1,true,FT,true,2019,true
199886,9615,2018-03-10 15:15:00,5,101,102,0,2,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2018,false
275151,1382345,2025-10-19 12:00:00,26,642,4422,0,1,FT,,,2026-02-27 00:01:51.060209,2026-07-04 23:56:56.280444,true,true,0,false,FT,true,2025,false
569576,,2022-02-13 00:00:00,58,668,684,0,1,FT,,,2026-03-11 00:04:58.812185,2026-03-11 00:04:58.812185,true,false,1,true,FT,true,2022,false
284487,1379349,2025-07-18 17:00:00,30,783,779,2,3,FT,Sandi Putros,,2026-02-27 00:01:51.060209,2026-07-04 23:56:56.280444,true,true,1,true,FT,true,2025,true
100059,296793,2020-11-18 19:30:00,45,1015,1018,1,1,FT,H. Arizaga,,2026-02-27 00:01:51.060209,2026-03-23 19:23:21.07099,true,true,0,false,FT,true,2020,true
89891,996500,2023-09-03 13:00:00,33,887,896,2,1,FT,V. Nevalainen,,2026-02-27 00:01:51.060209,2026-03-07 22:14:49.723995,true,true,0,false,FT,true,2023,true
319061,100361,2017-09-15 14:30:00,56,1574,4623,1,1,FT,,,2026-02-27 00:01:51.060209,2026-02-27 00:01:51.060209,true,true,0,false,FT,true,2017,true
557130,,2016-08-14 00:00:00,57,439,434,2,2,FT,,,2026-03-11 00:03:55.273295,2026-03-11 00:03:55.273295,true,false,1,true,FT,true,2016,true
100389735,389735,2012-02-17 10:30:00,100000191,100010211,100010217,6,1,FT,,,2026-07-04 23:56:56.452874,2026-07-04 23:56:56.452874,false,false,0,false,FT,true,2012,true
