id,fixture_id,team_id,player_id,player_name,is_starter,position,number,captain,minutes,rating
2856163,238934,334,69860,Pedro Álvaro,true,D,23.0,false,90.0,6.3
7477062,325814,1689,140823,D. Hotto,true,,7.0,false,,
997993,195578,82,35939,T. Nichols,true,F,16.0,false,90.0,6.5
4271568,269876,588,87671,Mikhail Kerzhakov,false,G,41.0,false,,
4796208,280304,758,87339,T. Björkström,true,D,8.0,false,90.0,6.3
7792250,115553,1319,114336,N. Djekovic,false,D,25.0,false,,
5111028,287972,861,99577,A. Ioniţă,false,F,9.0,false,,
4320407,270806,587,87701,Aleksandr Maksimenko,true,G,98.0,false,90.0,6.3
6608591,313475,1027,126285,Richard Torales,false,,17.0,false,,
9363368,356024,369,44834,Caleb Ekuban,true,F,18.0,false,78.0,6.7
5308826,292791,908,103016,M. Animasahun,true,D,15.0,false,99.0,6.7
387643,180559,72,19165,T. Thompson,false,,20.0,false,,
1671220,210990,165,55619,B. Pierret,true,M,75.0,false,69.0,7.2
77704,171611,21,18167,P. Kenny,true,,1.0,false,,
3109518,245425,375,48993,Aymen Abdennour,true,D,5.0,false,90.0,6.2
2259522,224620,257,62606,Christoph Kramer,true,,23.0,false,,
7463251,325431,1274,61568,A. Fofana,true,,14.0,false,,
4985864,285034,795,97948,Cheng Long,true,D,2.0,false,90.0,7.4
9594150,158087,1001,79034,Jan Hurtado,false,F,27.0,false,,
4591009,277283,703,92743,Santiago García,true,,33.0,false,,
3069834,244425,383,49608,İsmail Köybaşı,false,D,22.0,false,11.0,7.3
6993769,112570,1257,116398,M. Barnabas,true,,30.0,false,,
7890298,105420,1127,146838,Jorge Bazan,true,M,15.0,false,64.0,6.2
7280353,323011,952,77876,Barreto,true,M,5.0,false,89.0,6.3
6291639,308455,976,120466,Junior Hernández,false,,26.0,false,,
6856498,102699,1078,73263,Gonzalo Espinoza,true,M,21.0,false,90.0,7.6
3866336,261242,494,82747,Kazuyuki Morisaki,true,,8.0,false,,
2784088,237369,324,44853,Rafa Soares,true,D,55.0,false,90.0,6.9
5904147,128080,1531,112767,Abdulaziz Ismael,false,D,6.0,false,,
4004410,264955,499,83826,Hinata Kida,false,M,5.0,false,11.0,6.5
293216,177814,60,36390,H. Biggins,false,F,27.0,false,,
7569305,327001,1293,73328,Domagoj Vida,true,,24.0,false,,
6612344,313558,1028,125641,Álvaro Campuzano,true,,6.0,false,,
2013960,218308,222,45475,Amadou Salif Mbengue,false,M,33.0,false,16.0,6.2
8468639,343529,1482,66687,J. Brondeel,true,,26.0,false,,
3823355,234414,304,66541,Michael Brouwer,false,G,16.0,false,,
1662817,210809,166,53641,Alessio Romagnoli,true,D,13.0,false,90.0,7.2
7701552,130656,1584,82091,Zaydan Bello,false,D,35.0,false,45.0,6.9
466528,182777,26,1588,N. Chadli,true,M,22.0,false,81.0,6.7
7758642,330588,1312,145297,S. Milošević,true,,10.0,false,,
1251431,201798,113,48677,Stefan Mitrović,false,D,23.0,false,,
6353416,97798,988,120667,Jader Quinones,true,M,42.0,false,91.0,7.0
2866023,239180,1345,69289,Rúben Macedo,false,F,7.0,false,31.0,6.9
1897032,215121,207,58101,D. Cvitanich,true,,12.0,false,,
2133440,221496,214,18827,Cristian López,false,F,9.0,false,1.0,
8618735,345338,4735,160320,N. Bērenfelds,true,,,false,,
9992908,369023,242,61017,Cyril Mandouki,true,M,8.0,false,89.0,6.6
4880114,282411,774,97156,K. Fisker,true,,16.0,false,,
2353656,227137,254,62845,Michael Zetterer,false,G,30.0,false,,
4354645,271669,622,89484,S. Stangl,false,,23.0,false,,
6571762,313107,1023,49057,Alvaro Pereira,true,,,false,,
6961015,318569,1252,132862,M. Matko,true,,20.0,false,,
5869444,301963,1537,113091,Muhain Khalifa,false,,8.0,false,,
7808219,115323,1315,74427,Josip Ćalušić,true,D,4.0,false,90.0,6.6
5488905,146313,1797,105208,A. Mandous,true,G,28.0,false,,
1500239,207170,166,43933,Thomas Strakosha,false,,95.0,false,,
8766905,348762,1731,80490,K. Alston,true,,2.0,false,,
4729368,73293,723,93243,Guillermo Acosta,true,M,8.0,true,67.0,7.2
6534866,134588,1658,123984,A. Zenasni,true,,,false,,
81020,171703,39,18611,P. Robinson,true,,30.0,false,,
1578456,208934,3492,52638,S. Grubac,false,F,25.0,false,,
9722161,360781,1810,66181,Jean David Beauguel,false,F,10.0,false,11.0,6.6
4809298,280665,750,95585,A. Blomqvist,true,M,23.0,false,70.0,6.6
4343716,271364,618,89442,A. Kocjan,false,,35.0,false,,
7883896,332113,1128,146882,G. Torres,true,M,35.0,false,90.0,6.3
2800015,237810,4099,69368,K. Hachadi,true,F,9.0,false,45.0,6.6
991722,195403,88,36648,D. Scarr,true,D,6.0,false,90.0,7.2
513563,184075,11,19084,Leon Clarke,false,F,24.0,false,,
