id,name,api_football_id,fd_name,rating_mu,rating_sigma,in_csv,in_pq
2035,Trafford,7677,,1781.7222428862458,292.53375447105657,true,true
4226,Gemert,1230,,1502.1082010729565,282.59149973585164,true,true
1522,Seongnam FC,2757,,1510.6836345249694,7.203491660515352,true,true
5334,Rot-weiss Oberhausen,1658,,1118.6162559975955,350.0,true,true
1578,Mes Kerman,2718,,1508.166850988736,42.61602434907325,true,true
3228,Lorca Deportiva,9400,,784.7242438690221,329.8744409016725,true,true
100013343,Trang,13343,,1500.0,,false,false
100012684,Elwidj,12684,,1500.0,,false,false
2785,Oman,1552,,1679.931137743191,320.6351747844037,true,true
5985,Bonnyrigg Rose Athletic,7431,,1436.9859606908926,5.533892351259556,true,false
5513,Lille Sud,13652,,1500.0,350.0,true,true
100025525,Free Agents,25525,,1500.0,,false,false
100006080,Einherji,6080,,1500.0,,false,false
3184,Orihuela,9404,,1208.9040983604457,306.995684940396,true,true
5768,Torcatense,4798,,1455.9243531180318,350.0,true,true
100005682,Shanghai Jiading,5682,,1500.0,,false,false
1337,FC Porto B,243,,1510.2639005703693,3.214526248799424,true,true
640,Thun,1012,Thun,1541.7910411615837,3.5055772257221784,true,true
6263,Real Santander,1463,,1487.0670974912107,6.829171055995726,true,false
100023662,J-Lease FC,23662,,1500.0,,false,false
5015,Bishop Sutton,11951,,1500.0,350.0,true,true
100005652,Dalian Huayi,5652,,1500.0,,false,false
4858,Norway U17,17969,,1562.3654356592126,306.1523611149248,true,true
1718,El Paso Locomotive,3993,,1537.7977122311465,3.4411352772824784,true,true
1937,Kauno Žalgiris,3872,,1398.4176123467641,14.698825267529967,true,true
100006560,Hat Yai City,6560,,1500.0,,false,false
100011488,Karuturi Sports,11488,,1500.0,,false,false
100026525,Chapulineros,26525,,1500.0,,false,false
5618,Parisienne,3283,,1500.0,350.0,true,true
3592,Guéreins Genouilleux,25337,,1215.8364109883191,350.0,true,true
4120,Oriental Dragon,15131,,1464.3094803699237,350.0,true,true
100020908,HeMan,20908,,1500.0,,false,false
1474,Telstar,427,,1464.0176908447083,3.3612654592116504,true,true
100022780,Techiman Liberty,22780,,1500.0,,false,false
5662,Theix,3124,,1192.414860016776,350.0,true,true
100005235,Al Ahly Shendi,5235,,1500.0,,false,false
1358,Renaissance Berkane,962,,1558.1486222622373,4.403754869157768,true,true
3692,Cholet,1292,,1469.8531848718605,73.91051551314612,true,true
100018722,TaPa,18722,,1500.0,,false,false
100021174,Bories,21174,,1500.0,,false,false
100014003,TBC KO,14003,,1500.0,,false,false
599,Ural,1084,Ural,1560.2013425101213,4.624139306366401,true,true
1711,CS Chebba,6252,,1518.0518153612418,43.615240574692855,true,true
1991,Moldova,1114,,854.2346672876906,218.54694281810242,true,true
1411,Posušje,14146,,1516.4217323184916,3.990299221257399,true,true
5738,ES Cappelle,27022,,1376.2650775379786,334.1776999081501,true,true
2246,Litherland Remyca,8851,,912.2990089189136,340.2929867627931,true,true
100013540,MaPS,13540,,1500.0,,false,false
3675,APM Metz,3245,,1237.5312031237852,297.6121629500164,true,true
5543,Saverne,13671,,1500.0,350.0,true,true
100018528,KJV,18528,,1500.0,,false,false
100004597,Silver Strikers,4597,,1500.0,,false,false
