fixture_id,home_win,draw,away_win,bookmaker,source,in_csv,in_pq,known_at
558122,2.34,3.6,3.13,Pinnacle,API-Football-closing,true,false,2017-11-04 00:00:00
83941,15.25,6.05,1.25,Pinnacle,API-Football-closing,true,false,2013-05-03 00:00:00
200549,1.12,9.82,23.27,Pinnacle,API-Football-closing,true,false,2019-12-21 15:00:00
593118,1.48,4.47,6.6,Pinnacle,API-Football-closing,true,false,2021-10-02 00:00:00
205586,2.4,2.8,3.6,Bet365,CSV,false,true,2023-01-22 17:30:00
56944,4.95,3.5,1.86,Pinnacle,API-Football-closing,true,false,2015-05-02 00:00:00
75348,1.26,6.47,11.98,Pinnacle,API-Football-closing,true,false,2014-11-01 00:00:00
23208,3.02,3.94,2.26,Pinnacle,API-Football-closing,true,true,2024-03-16 12:00:00
291805,5.12,4.39,1.63,Pinnacle,API-Football-closing,true,true,2025-08-17 12:00:00
283120,3.37,3.49,2.24,Pinnacle,API-Football-closing,true,false,2018-02-10 15:00:00
534234,2.92,3.29,2.6,Pinnacle,API-Football-closing,true,false,2023-06-11 00:00:00
194745,2.0,3.6,4.0,Bet365,CSV,false,true,2019-08-20 18:45:00
290163,1.87,3.73,4.53,Pinnacle,API-Football-closing,true,false,2015-09-14 15:30:00
66020,1.48,4.69,7.32,Pinnacle,API-Football-closing,true,false,2017-04-01 00:00:00
581868,1.44,5.28,6.38,Pinnacle,API-Football-closing,true,false,2018-10-06 00:00:00
535496,2.82,4.0,2.46,Betfair Exchange,API-Football-closing,true,false,2025-11-22 00:00:00
261664,2.93,3.65,2.44,Pinnacle,API-Football-closing,true,false,2014-05-03 04:00:00
556510,1.96,3.53,4.31,Pinnacle,API-Football-closing,true,false,2015-09-19 00:00:00
455643,2.98,3.12,2.65,Pinnacle,API-Football-closing,true,false,2020-10-25 00:00:00
205053,2.1,3.2,3.8,Bet365,CSV,false,true,2021-11-29 20:00:00
204143,1.71,3.58,5.69,Pinnacle,API-Football-closing,true,false,2019-12-22 11:00:00
577573,2.13,3.38,3.92,Pinnacle,API-Football-closing,true,false,2012-07-29 00:00:00
530500,2.2,3.75,3.3,Pinnacle,API-Football-closing,true,false,2015-08-01 00:00:00
545939,5.87,4.78,1.48,Pinnacle,API-Football-closing,true,false,2019-07-11 00:00:00
451048,2.38,3.46,3.12,Pinnacle,API-Football-closing,true,false,2017-03-04 00:00:00
286619,4.37,4.23,1.71,Pinnacle,API-Football-closing,true,true,2025-04-06 07:30:00
413333,3.35,3.34,2.34,Pinnacle,API-Football-closing,true,false,2017-09-16 00:00:00
222623,3.25,3.01,2.55,Pinnacle,API-Football-closing,true,false,2021-02-27 18:00:00
265794,2.22,3.38,3.6,Pinnacle,API-Football-closing,true,false,2017-10-28 00:00:00
595579,2.2,3.62,3.39,Pinnacle,API-Football-closing,true,false,2016-08-06 00:00:00
185372,5.5,4.2,1.64,Pinnacle,API-Football-closing,true,true,2024-12-08 14:00:00
149857,1.31,5.96,9.02,Pinnacle,The-Odds-API,true,true,2024-02-22 20:00:00
234470,1.33,5.91,9.12,Pinnacle,API-Football-closing,true,true,2021-05-08 18:00:00
201414,2.24,3.39,3.57,Pinnacle,API-Football-closing,true,true,2022-03-12 13:00:00
205328,1.95,3.4,4.2,Bet365,CSV,false,true,2022-08-13 21:00:00
356630,1.57,3.81,5.19,Pinnacle,The-Odds-API,true,true,2025-11-06 20:00:00
39336,1.9,3.84,4.11,Pinnacle,API-Football-closing,true,false,2015-09-28 00:00:00
275220,1.72,3.89,4.88,Pinnacle,API-Football-closing,true,true,2026-01-24 17:00:00
262252,4.38,3.7,1.9,Pinnacle,API-Football-closing,true,false,2016-04-24 04:00:00
199883,3.21,3.21,2.48,Pinnacle,API-Football-closing,true,false,2018-03-11 11:00:00
266424,1.79,3.73,4.74,Pinnacle,API-Football-closing,true,false,2019-09-22 02:05:00
270591,1.81,3.71,4.66,Pinnacle,API-Football-closing,true,false,2022-09-10 16:45:00
238901,1.78,3.94,4.69,Pinnacle,API-Football-closing,true,true,2023-05-20 14:30:00
274183,4.86,4.11,1.7,Pinnacle,API-Football-closing,true,false,2019-11-03 15:00:00
196467,3.4,3.3,2.2,Bet365,CSV,false,true,2022-11-12 15:00:00
88872,1.81,3.88,4.64,Pinnacle,API-Football-closing,true,false,2017-09-07 00:00:00
238308,3.2,3.4,2.15,Bet365,CSV,false,true,2021-08-14 19:30:00
214187,3.49,3.31,2.25,Pinnacle,API-Football-closing,true,true,2024-08-18 18:30:00
289146,1.99,3.34,4.04,Pinnacle,API-Football-closing,true,false,2025-03-29 12:30:00
280802,1.82,3.61,4.91,Pinnacle,API-Football-closing,true,true,2020-09-28 17:00:00
267402,2.0,3.6,3.92,Pinnacle,API-Football-closing,true,false,2018-07-01 16:00:00
