fixture_id,team_id,team_name,coach_name,coach_api_id,formation,in_csv,in_pq
338457,347,St. Gilloise,M. Grosjean,8141,,false,true
183597,10,Fulham,C. Ranieri,2853,4-4-1-1,false,true
215814,244,Caen,,,,false,true
368399,3853,Schiltigheim,S. Crucet,4270,,false,true
322694,434,Coritiba,Umberto Louzer,216,4-1-4-1,false,true
606121,6045,ML Vitebsk,Magomed Adiev,3402,4-4-2,false,false
363752,48,Barnsley,D. Stendel,86,,false,true
117568,1375,Mouloudia Oujda,F. Jamal,15808,4-2-3-1,false,true
375596,4528,NEOM,Christophe Galtier,36,4-3-3,false,false
176007,50,Peterboro,,,,false,true
204312,104,Girona,Jose Martí,2920,4-2-3-1,false,true
272556,629,Altach,A. Pastoor,1924,4-4-1-1,false,true
164530,4072,Fontinhas,Pedro Lima,8521,,false,true
307242,993,Envigado,Ismael Rescalvo,2246,4-3-1-2,false,true
148963,117,Ath Madrid,D. Simeone,1595,4-4-2,false,true
208599,169,Torino,S. Mihajlović,2413,4-3-3,false,true
218406,219,Nantes,A. Kombouare,3044,3-4-3,false,true
247702,405,Kilmarnock,,,,false,true
132060,1609,Olympique Khouribga,A. Ouarrad,16370,,false,true
124926,1486,Rīgas FS,V. Morozs,2040,,false,true
149044,156,Napoli,L. Spalletti,2914,4-3-3,false,true
327706,1279,Shakhtar Donetsk,Paulo Fonseca,2431,,false,true
101524717,100004063,Manhattan,R. Selvadurai,19608,,false,false
187167,21,Leeds,Thomas Christiansen,1552,4-2-3-1,false,true
215008,4328,Evian TG,,,,false,true
134524,1641,CS Constantine,K. Khouda,7803,,false,true
286684,796,Beijing Guoan,Enrique Setién Solar,2894,3-5-2,false,true
341755,1156,Trujillanos FC,,,,false,true
333093,1345,Nacional,Costinha,2857,,false,true
212853,162,Salernitana,G. Ventura,1606,3-5-2,false,true
100819,1046,CA River Plate,I. Ithurralde,14830,3-4-3,false,true
328087,1303,FC Mariupol,O. Babych,1261,,false,true
323233,457,Cuiaba,Eduardo Maciel de Barros,5969,3-4-3,false,true
124768,1492,Riga,T. Stipić,2722,,false,true
107185,1164,HNK Gorica,M. Mujdža,20610,3-4-3,false,true
335739,1778,CD Motagua,D. Vázquez,2763,,false,true
313571,4600,Atlético Tembetary,C. Díaz,821,,false,true
177451,65,Bristol Rvs,D. Clarke,606,,false,true
264688,511,Shonan Bellmare,S. Yamaguchi,15598,3-1-4-2,false,true
248846,402,Aberdeen,D. McInnes,2401,4-2-3-1,false,true
208997,167,Udinese,D. Nicola,2916,3-5-2,false,true
280035,739,Hacken,M. Stahre,3735,4-2-3-1,false,true
157336,1112,Deportivo Garcilaso,B. Redín,18460,4-2-3-1,false,true
267533,561,Rosenborg,R. Coolen,3145,4-3-3,false,true
163552,3564,Orleans,K. Mokeddem,3555,5-3-2,false,true
159933,17,Chelsea,T. Tuchel,40,3-4-3,false,true
256556,430,Sao Paulo,Rogério Ceni,129,4-3-1-2,false,true
314586,1226,Hapoel Petah Tikva,Omer Peretz,11704,,false,true
137712,531,Club Leon,Renato Paiva,2813,4-2-3-1,false,true
201239,102,Valencia,José Bordalás,1596,4-4-2,false,true
181217,67,Cheltenham,G. Johnson,682,,false,true
109184,1193,Nyiregyhaza,K. Timár,16310,,false,true
217594,230,St Etienne,C. Puel,43,3-4-2-1,false,true
124781,1490,BFC Daugavpils,K. Kurbatovs,11509,,false,true
626426,6375,CD Arabe Unido,F. Perlo,2281,,false,false
304845,4558,Inter Zapresic,Ž. Petrović,2404,3-4-1-2,false,true
197584,57,Cambridge,Neil Harris,92,4-2-3-1,false,true
244218,4341,Mersin İdmanyurdu,,,,false,true
288370,847,FC Rapid Bucuresti,M. Iosif,13195,4-2-3-1,false,true
133030,1614,AL Masry,Hossam Hassan,914,4-3-3,false,true
238944,1383,AVS,Vítor Campelos,2206,4-3-3,false,true
365917,2704,Yeovil Town,,,,false,true
186564,49,Derby,S. McClaren,2949,4-3-3,false,true
202867,3163,Numancia,Arrasate,1588,4-3-3,false,true
144173,1773,Deportivo Saprissa,V. Quesada,3179,,false,true
131453,1368,CR Khemis Zemamra,A. Benhachem,13418,4-1-4-1,false,true
178798,2699,York,,,,false,true
365344,2565,Bamber Bridge,J. Milligan,23958,,false,true
100663274,4457,Osters IF,D. Velic,1369,4-4-2,false,false
219256,223,Strasbourg,Liam James Rosenior,13350,3-4-2-1,false,true
121007,1436,RAAL La Louvière,F. Taquin,12907,5-3-2,false,true
162651,270,Ein Frankfurt,D. Toppmöller,1549,4-4-2,false,true
98874,992,Internacional de Bogota,A. García,2161,,false,true
296653,1501,Al-Adalah,N. Beyaoui,6692,4-2-3-1,false,true
155281,1048,Liverpool Montevideo,E. Alfaro,21758,4-2-3-1,false,true
221249,218,Le Havre,O. Tanchot,2508,4-2-3-1,false,true
216611,221,Rennes,C. Gourcuff,42,4-4-1-1,false,true
314431,1212,Maccabi Netanya,S. Drapić,4657,4-4-2,false,true
100718027,4414,Wacker Innsbruck,M. Morass,15021,4-3-3,false,false
129091,1571,Nassaji Mazandaran,Lucas Alcaraz,3242,,false,true
246524,387,Karagumruk,A. Pirlo,12778,4-3-3,false,true
109263,1205,Mezokovesd-zsory,A. Kuttor,1926,4-4-2,false,true
122220,1456,Sioni,G. Daraselia,8076,,false,true
273860,640,Thun,M. Schneider,2013,4-5-1,false,true
237695,1342,Belenenses,Silas,2218,3-4-1-2,false,true
150191,1305,FK Crvena Zvezda,D. Stanković,7766,3-4-2-1,false,true
197014,87,Grimsby,D. Artell,596,4-1-4-1,false,true
289317,865,FC Hermannstadt,Marius Constantin Măldărăşanu,755,3-5-2,false,true
200788,108,Real Madrid,Z. Zidane,1584,4-3-1-2,false,true
313027,1034,Nacional Asuncion,H. Lisi,3464,,false,true
252732,442,Gremio,,,,false,true
284870,820,Shandong Taishan,F. Magath,5472,4-4-2,false,true
313364,1039,Club Sp. San Lorenzo,S. Orteman,651,,false,true
191893,34,Plymouth,R. Lowe,618,3-5-2,false,true
283408,779,FC Copenhagen,S. Solbakken,1675,4-4-2,false,true
259970,482,Minnesota United,A. Heath,1967,4-2-3-1,false,true
130531,1595,Adelaide United,C. Veart,13537,4-2-3-1,false,true
42683,469,San Jose Earthquakes,L. Gonzalez,1962,4-2-3-1,false,true
100598834,4352,Giresunspor,Ü. Şengül,5972,4-1-4-1,false,false
233953,300,Utrecht,D. Advocaat,3104,4-3-3,false,true
101525525,961,Juventude,Barbieri Mauricio,26744,,false,false
278366,709,Tigre,C. Ledesma,3212,4-2-3-1,false,true
288166,4491,FC Astra Giurgiu,E. Neagoe,1200,4-3-3,false,true
311453,1649,ES Setif,,,,false,true
100392138,4414,Wacker Innsbruck,,,,false,false
233286,1475,ADO Den Haag,A. Groenendijk,2002,4-3-3,false,true
218971,221,Rennes,J. Stéphan,31,3-4-2-1,false,true
336454,4696,Čelik,H. Özer,7772,,false,true
316177,4612,Univ. DE Costa Rica,M. Arias,10440,,false,true
124734,1493,Metta / LU,A. Riherts,2041,,false,true
103025,1094,Jorge Wilstermann,E. Villegas,317,4-4-2,false,true
101544608,100,Rayo Vallecano,Inigo Perez,25641,4-2-3-1,false,false
123302,1472,Cambuur,H. de Jong,1480,4-2-3-1,false,true
237095,327,Sp Lisbon,Jorge Jesus,123,4-2-3-1,false,true
232715,1472,Cambuur,,,,false,true
243071,352,Oud-Heverlee Leuven,David Hubert,23519,3-4-3,false,true
212896,3456,Crotone,G. Stroppa,1604,3-5-2,false,true
363548,14,Aston Villa,S. Bruce,17,4-4-1-1,false,true
123835,1482,NAC Breda,E. de Graaf,15099,4-2-3-1,false,true
245450,386,Buyuksehyr,O. Buruk,1442,4-1-4-1,false,true
144651,1777,Limon FC,D. Casas,7909,,false,true
7464,72,Morecambe,D. Adams,3568,4-2-3-1,false,true
178804,72,Morecambe,,,,false,true
352991,1818,Atromitos,Dusan Kerkez,25658,4-2-3-1,false,true
199839,108,Real Madrid,Z. Zidane,1584,4-2-3-1,false,true
178699,2690,Southend,,,,false,true
157436,2702,Dagenham & Redbridge,D. McMahon,614,,false,true
599767,1007,Deportivo Cuenca,Fortunato Celico Jorge Cesar,27384,5-4-1,false,false
206508,3189,Malaga,Sergio Pellicer García,7001,4-3-1-2,false,true
256297,455,Fortaleza,J. Vojvoda,852,4-4-1-1,false,true
277353,4436,San Martin S.J.,,,,false,true
180879,75,AFC Wimbledon,,,,false,true
265620,4388,Veracruz,J. Luna,10922,4-2-3-1,false,true
191581,37,Rotherham,P. Warne,580,4-4-2,false,true
361205,1181,AEK Larnaca,Andoni Iraola,2108,4-2-3-1,false,true
249571,408,St Mirren,S. Robinson,2400,3-5-2,false,true
249763,401,Livingston,D. Martindale,13439,4-2-3-1,false,true
169839,33,Hull,,,,false,true
329571,1583,Central Coast Mariners,Warren Moon,13530,4-4-2,false,true
231553,272,Hertha,S. Leitl,1340,3-4-1-2,false,true
19671,229,Bordeaux,D. Guion,25,4-2-3-1,false,true
230692,3389,Dynamo Dresden,A. Schmidt,1922,4-3-1-2,false,true
352084,2835,St. Kitts and Nevis,Austin Huggins,16968,,false,true
2217,34,Plymouth,I. Foster,16315,3-4-2-1,false,true
311259,4585,El Eulma,,,,false,true
288971,839,Petrolul,S. Alagic,8415,4-1-4-1,false,true
325811,4660,Bidvest Wits,G. Hunt,2233,,false,true
305120,1184,Nea Salamis,S. Poursaitidis,2070,,false,true
134974,1664,AS AIN Mlila,R. Iaïche,2276,,false,true
266502,535,Atl. San Luis,L. García,5124,4-1-4-1,false,true
328018,1300,Lviv,B. Blavatskyy,1255,4-2-3-1,false,true
187899,25,Norwich,D. Farke,2,4-2-3-1,false,true
219399,209,Marseille,Roberto De Zerbi,2424,3-4-2-1,false,true
334026,1398,CSKA Sofia,,,,false,true
153264,1850,Vikingur Reykjavik,A. Gunnlaugsson,7382,4-3-3,false,true
211105,164,Atalanta,G. Gasperini,2393,3-4-2-1,false,true
133673,1623,Zamalek SC,P. Carteron,3355,4-2-3-1,false,true
200985,102,Valencia,Javi Gracia,11,4-4-2,false,true
359094,22,Southampton,William Still,10665,3-4-2-1,false,true
234663,306,Sparta Rotterdam,H. Fraser,2005,5-3-2,false,true
101540967,1392,Botev Plovdiv,Lacezar Baltanov,27735,4-2-3-1,false,false
248420,404,Hearts,I. Cathro,6336,,false,true
262509,492,Gamba Osaka,K. Hasegawa,541,4-3-1-2,false,true
129853,1581,Saipa,E. Sadeghi,2707,,false,true
307991,990,Patriotas,D. Corredor,2150,4-3-3,false,true
359782,618,Sturm Graz,,,,false,true
102502,1085,D. Melipilla,R. Córdova,15563,4-1-4-1,false,true
95435,723,Atl. Tucuman,L. Pusineri,2157,4-4-2,false,true
141749,1724,New Mexico United,Z. Prince,16860,,false,true
138009,533,Club America,F. Ortíz,3501,4-3-3,false,true
102476,1085,D. Melipilla,R. Córdova,15563,4-1-4-1,false,true
117392,1363,UTS Rabat,A. Zamrat,20684,4-2-3-1,false,true
256958,437,Bahia,Rogério Ceni,129,4-3-1-2,false,true
267793,562,Brann,L. Nilsen,1941,4-3-3,false,true
126745,1519,Suwon Bluewings,Lee Byung-Geun,4204,4-2-3-1,false,true
360996,4738,Riga FC,V. Skripnik,1257,,false,true
101525516,100001222,Gama,Renan,15922,,false,false
