fixture_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_xg,away_xg,home_possession,away_possession,home_fouls,away_fouls,home_offsides,away_offsides,home_pass_accuracy,away_pass_accuracy,home_goals_ht,away_goals_ht,home_xg_ht,away_xg_ht,stats_fetched_at,in_csv,in_pq,xg_covered,xg_nulled,known_at
136266,3,9,2,3,0,0,0,0,0,0,0,0,2,4,1,0,0,0,,,46,54,12,10,5,1,,,1,1,,,2026-03-10 12:22:10.11351,true,true,false,true,2021-01-29 16:45:00
98636,25,9,6,5,9,4,16,5,6,1,1,0,9,1,4,4,0,0,,,60,40,19,9,2,3,85,67,0,0,,,2026-03-10 12:01:48.820045,true,true,false,true,2021-11-15 00:50:00
625980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,true,false,true,,2023-11-19 22:45:00
7574,21,12,3,3,14,10,7,2,9,4,0,0,12,5,2,2,0,0,1.86,1.22,68,32,7,8,1,2,81,62,0,1,,,,true,true,true,false,2024-01-06 16:45:00
281169,24,8,12,2,14,2,10,6,5,2,0,0,9,4,1,2,0,0,1.96,0.44,60,40,9,13,1,1,85,74,2,0,,,2026-03-10 11:50:43.865473,true,true,true,false,2022-05-07 17:15:00
140502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2,1,,,,true,true,true,true,2020-07-16 02:45:00
251855,10,4,4,3,0,0,0,0,0,0,0,0,9,2,0,3,0,0,,,,,,,,,,,,,,,,false,true,true,,2022-02-26 16:45:00
115135,8,9,2,6,8,6,0,3,4,0,0,0,5,6,1,4,0,0,0.92,0.8,45,55,11,13,4,2,70,76,0,0,,,,true,true,true,false,2025-02-26 20:15:00
612453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,true,false,true,,2024-06-22 11:45:00
308064,14,10,7,8,9,5,5,5,4,2,1,1,2,4,2,5,0,0,1.85,1.4,,,,,,,,,1,1,,,,true,true,true,false,2018-09-09 20:00:00
