id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo,in_csv,in_pq
55932,418846,Davide De Battisti,,,,,,,https://media.api-sports.io/football/players/418846.png,true,true
196541,127088,A. Altamura,,,,,,,,true,true
130490,541280,A. Ruiz,,,,,,,,true,true
69673,146644,A. Ndour,,,,,,,https://media.api-sports.io/football/players/146644.png,true,true
58842,87299,I. Inzoudine,,,,,,,https://media.api-sports.io/football/players/87299.png,true,true
102688,69236,D. Jarvis,,,,,,,,true,true
148811,269293,A. Feradov,,,,,,,,true,true
169410,123866,D. Howell,,,,,,,,true,true
67337,37471,Jort van der Sande,,,,,,,https://media.api-sports.io/football/players/37471.png,true,true
70605,114240,M. Debisschop,,,,,,,,true,true
124877,393366,K. Toual,,,,,,,,true,true
205244,193145,V. Haligon,,,,,,,,true,true
208084,390696,C. Delaunay,,,,,,,,true,true
134753,532836,S. Nariman,,,,,,,,true,true
135403,115651,Marcelo Nicácio,,,,,,,,true,true
164655,28971,Ranjeet Singh Pandre P,,,,,,,https://media.api-sports.io/football/players/28971.png,true,true
202340,85667,Y. Garric,,,,,,,,true,true
219353,600922,Gersom Klok,,,,,,,https://media.api-sports.io/football/players/600922.png,true,true
127373,380448,C. F. Don,,,,,,,https://media.api-sports.io/football/players/380448.png,true,true
206512,346047,J. Durand,,,,,,,,true,true
79027,9320,Edson Junior,,,,,,,https://media.api-sports.io/football/players/9320.png,true,true
190177,486606,Iker Candón,,,,,,,,true,true
162954,102671,N. Aune,,,,,,,,true,true
95602,48341,J. Brattberg,,,,,,,https://media.api-sports.io/football/players/48341.png,true,true
138493,308175,René Gonzales,,,,,,,https://media.api-sports.io/football/players/308175.png,true,true
190111,337525,Rubén Navas,,,,,,,https://media.api-sports.io/football/players/337525.png,true,true
175743,92735,Hugo López,,,,,,,,true,true
146790,39556,Luis Araujo,,,,,,,https://media.api-sports.io/football/players/39556.png,true,true
58451,40398,C. Philipps,,,,,,,https://media.api-sports.io/football/players/40398.png,true,true
163809,462725,M. McCoy,,,,,,,,true,true
171638,423666,Yao-Hsing Yu,,,,,,,,true,true
56765,30843,M. D'Eramo,,,,,,,,true,true
155132,24496,R. Imerlishvili,,,,,,,,true,true
171600,73252,Rudy Khairullah,,,,,,,https://media.api-sports.io/football/players/73252.png,true,true
41666,232231,W. Feeney,,,,,,,,true,true
60357,20877,F. Bong,,,,,,,https://media.api-sports.io/football/players/20877.png,true,true
90838,294943,Pascal Hammer,,,,,,,https://media.api-sports.io/football/players/294943.png,true,true
166642,394708,Keyom Ewurum,,,,,,,https://media.api-sports.io/football/players/394708.png,true,true
112330,521948,Seif Emam,,,,,,,https://media.api-sports.io/football/players/521948.png,true,true
48439,105015,Germán Parreño,,,,,,,https://media.api-sports.io/football/players/105015.png,true,true
166161,53846,Kim Chol-Bom,,,,,,,,true,true
193331,177403,U. Kizilyar,,,,,,,https://media.api-sports.io/football/players/177403.png,true,true
86166,39140,U. Sale,,,,,,,https://media.api-sports.io/football/players/39140.png,true,true
94883,59336,Gustavo Benítez,,,,,,,https://media.api-sports.io/football/players/59336.png,true,true
98877,368485,Bi Haoyang,,,,,,,https://media.api-sports.io/football/players/368485.png,true,true
158464,565349,H. Contreras,,,,,,,,true,true
138317,125763,F. Añez,,,,,,,,true,true
165494,24134,C. Mensah,,,,,,,,true,true
172944,210529,H. Machkalyan,,,,,,,,true,true
157164,103800,C. Moreno,,,,,,,,true,true
157590,52656,P. Fernández,,,,,,,,true,true
125317,533760,R. Ibrahimi,,,,,,,,true,true
111397,147937,Mahmoud Naim,,,,,,,,true,true
207937,390693,H. Derkum,,,,,,,,true,true
67804,496426,Owen Panneflek,,,,,,,https://media.api-sports.io/football/players/496426.png,true,true
91354,40433,P.Tomczyk,,,,,,,,true,true
125354,533682,A. Okil,,,,,,,,true,true
187239,18089,E. Agboola,,,,,,,,true,true
136152,36105,Elbis,,,,,,,,true,true
115059,96775,Adel Badr,,,,,,,,true,true
143188,241240,Yuri Glushchuk,,,,,,,https://media.api-sports.io/football/players/241240.png,true,true
105661,162754,M. Galus,,,,,,,,true,true
175128,106101,L. Bekteshi,,,,,,,https://media.api-sports.io/football/players/106101.png,true,true
102099,198438,S. Pohjolainen,,,,,,,,true,true
116527,466741,Vito Šegović,,,,,,,https://media.api-sports.io/football/players/466741.png,true,true
168434,620431,K. Johnson,,,,,,,,true,true
105851,374054,El Hadji Latyr Ndiaye,,,,,,,https://media.api-sports.io/football/players/374054.png,true,true
182705,348660,Barros,,,,,,,https://media.api-sports.io/football/players/348660.png,true,true
99419,10668,A. Popov,,,,,,,,true,true
161198,590759,M. Sidorovs,,,,,,,,true,true
196465,56500,M. Scotti,,,,,,,,true,true
196571,56813,V. Di Somma,,,,,,,,true,true
163537,325065,C. Bruletti,,,,,,,,true,true
43866,195962,Chiquinho,,,,,,,https://media.api-sports.io/football/players/195962.png,true,true
194837,431065,Niklas Korber,,,,,,,https://media.api-sports.io/football/players/431065.png,true,true
179267,231807,D. Wring,,,,,,,,true,true
50231,343205,M. Martin,,,,,,,https://media.api-sports.io/football/players/343205.png,true,true
134241,290812,M. Bagheri,,,,,,,,true,true
175803,108105,A. Vasilevski,,,,,,,,true,true
128623,199067,Mathias Silvera,,,,,,,https://media.api-sports.io/football/players/199067.png,true,true
175066,207818,Wangu Gome,,,,,,,https://media.api-sports.io/football/players/207818.png,true,true
181617,181681,Álex Valiño,,,,,,,,true,true
187899,331574,W. Taylor,,,,,,,,true,true
146165,45873,D. Obrenović,,,,,,,https://media.api-sports.io/football/players/45873.png,true,true
183048,399184,Rubén Martínez,,,,,,,,true,true
163419,216495,F. Nodarse,,,,,,,,true,true
65197,25593,Pascal Breier,,,,,,,https://media.api-sports.io/football/players/25593.png,true,true
92157,157129,Yoav Hofmeister,,,,,,,https://media.api-sports.io/football/players/157129.png,true,true
143032,63582,Y. Vakulko,,,,,,,https://media.api-sports.io/football/players/63582.png,true,true
98494,12794,Zhang Lingfeng,,,,,,,https://media.api-sports.io/football/players/12794.png,true,true
48174,105035,Ansotegi,,,,,,,https://media.api-sports.io/football/players/105035.png,true,true
136262,160215,Marinho,,,,,,,,true,true
142445,241372,V. Gudyma,,,,,,,,true,true
81302,71174,L. Ketterer,,,,,,,https://media.api-sports.io/football/players/71174.png,true,true
103074,360415,D. Woods,,,,,,,,true,true
35598,19440,J. Rafferty,,,,,,,https://media.api-sports.io/football/players/19440.png,true,true
158903,38787,Wesley Zonneveld,,,,,,,https://media.api-sports.io/football/players/38787.png,true,true
48409,116906,Rodrí,,,,,,,,true,true
50446,162434,Alejandro Francés,,,,,,,https://media.api-sports.io/football/players/162434.png,true,true
198550,86500,A. Linord,,,,,,,,true,true
62749,48579,Caiuby,,,,,,,https://media.api-sports.io/football/players/48579.png,true,true
165219,255214,K. Morgan,,,,,,,https://media.api-sports.io/football/players/255214.png,true,true
215460,94011,K. Huygens,,,,,,,,true,true
119564,13379,Jorge Ramos,,,,,,,https://media.api-sports.io/football/players/13379.png,true,true
156232,540459,R. Aleksidze,,,,,,,,true,true
217082,149331,J. Brocks,,,,,,,,true,true
195851,253806,L. Toffolini,,,,,,,,true,true
193332,91053,J. Kiermeier,,,,,,,https://media.api-sports.io/football/players/91053.png,true,true
62654,717,Kerem Demirbay,,,,,,,https://media.api-sports.io/football/players/717.png,true,true
44148,152967,Calvin Bassey,,,,,,,https://media.api-sports.io/football/players/152967.png,true,true
19227,82074,L. Robles,,,,,,,,true,true
100732,401649,Juninho,,,,,,,https://media.api-sports.io/football/players/401649.png,true,true
167263,168098,E. Matos,,,,,,,,true,true
182231,303557,Víctor Martínez,,,,,,,https://media.api-sports.io/football/players/303557.png,true,true
165727,319525,Domingos,,,,,,,https://media.api-sports.io/football/players/319525.png,true,true
102208,269280,B. Bushara,,,,,,,,true,true
213037,141583,Wilson Rodrigues,,,,,,,,true,true
66008,8441,Y. De Winter,,,,,,,,true,true
91473,64303,B. Borun,,,,,,,,true,true
49984,41412,Nikola Maraš,,,,,,,https://media.api-sports.io/football/players/41412.png,true,true
51482,122612,B. Cayarga,,,,,,,https://media.api-sports.io/football/players/122612.png,true,true
110401,535284,Z. Marour,,,,,,,,true,true
48085,116945,Kevin,,,,,,,https://media.api-sports.io/football/players/116945.png,true,true
98608,12737,Guanxi Li,,,,,,,https://media.api-sports.io/football/players/12737.png,true,true
107571,521717,Tamim Al Shuqayran,,,,,,,https://media.api-sports.io/football/players/521717.png,true,true
121029,431877,Jhonier Hurtado Castro,,,,,,,https://media.api-sports.io/football/players/431877.png,true,true
211094,402712,M. Mousseni Vincent,,,,,,,,true,true
200060,21808,A. Badirou,,,,,,,,true,true
103917,46131,D. Gašić,,,,,,,,true,true
91904,215916,Marcel Vasil,,,,,,,https://media.api-sports.io/football/players/215916.png,true,true
155710,153543,T. Oshakmashvili,,,,,,,,true,true
158381,466977,F. Estrada,,,,,,,,true,true
100224,271766,L. Florica,,,,,,,https://media.api-sports.io/football/players/271766.png,true,true
84762,36237,S. Rodríguez,,,,,,,https://media.api-sports.io/football/players/36237.png,true,true
60162,191289,Amine Sbai,,,,,,,https://media.api-sports.io/football/players/191289.png,true,true
185418,232372,L. Hales,,,,,,,,true,true
43179,1442,Sead Kolašinac,,,,,,,https://media.api-sports.io/football/players/1442.png,true,true
140570,557319,R. Aliyev,,,,,,,,true,true
