key,name,category_key,category_name,max_events,times_seen,sources
soccer-saudi-arabia-super-cup,Super Cup,saudi-arabia,Saudi Arabia,0,0,probe
soccer-scotland-premier-league,Premier League,scotland,Scotland,0,0,probe
soccer-scotland-premiership,Premiership,scotland,Scotland,7,2,"feed,probe"
soccer-scotland-championship,Premiership,scotland,Scotland,0,0,probe
soccer-senegal-premier-league,Premier League,senegal,Senegal,0,0,probe
soccer-serbia-superliga,Superliga,serbia,Serbia,0,0,probe
soccer-singapore-fa-cup,FA Cup,singapore,Singapore,0,0,probe
soccer-singapore-premier-league,Premier League,singapore,Singapore,0,0,probe
soccer-slovakia-2-liga,2. Liga,slovakia,Slovakia,0,0,probe
soccer-slovakia-superliga,Superliga,slovakia,Slovakia,0,0,probe
soccer-slovenia-super-cup,Super Cup,slovenia,Slovenia,0,0,probe
soccer-south-africa-fa-cup,FA Cup,south-africa,South Africa,0,0,probe
soccer-spain-copa-del-rey,Copa del Rey,spain,Spain,0,0,probe
soccer-spain-laliga,La Liga,spain,Spain,1,2,feed
soccer-spain-primera-division,Primera Division,spain,Spain,0,0,probe
soccer-spain-segunda-division,Segunda Division,spain,Spain,0,0,probe
soccer-spain-super-cup,Supercopa de España,spain,Spain,0,0,probe
soccer-sudan-cup,Cup,sudan,Sudan,0,0,probe
soccer-sudan-premier-league,Premier League,sudan,Sudan,0,0,probe
soccer-sweden-allsvenskan,Allsvenskan,sweden,Sweden,12,2,feed
soccer-sweden-damallsvenskan,Damallsvenskan,sweden,Sweden,1,2,feed
soccer-sweden-div-1-norra,"Ettan, Norra",sweden,Sweden,1,2,feed
soccer-sweden-super-cup,Super Cup,sweden,Sweden,0,0,probe
soccer-sweden-superettan,Superettan,sweden,Sweden,9,2,feed
soccer-switzerland-super-league,Super League,switzerland,Switzerland,6,2,"feed,probe"
soccer-syria-cup,Cup,syria,Syria,0,0,probe
soccer-tanzania-premier-league,Premier League,tanzania,Tanzania,0,0,probe
soccer-thailand-fa-cup,FA Cup,thailand,Thailand,0,0,probe
soccer-thailand-thai-league-2,Thai League 2,thailand,Thailand,0,0,probe
soccer-tunisia-ligue-1,Ligue 1,tunisia,Tunisia,0,0,probe
soccer-tunisia-super-cup,Super Cup,tunisia,Tunisia,0,0,probe
soccer-turkey-super-cup,Super Cup,turkey,Turkey,0,0,probe
soccer-turkey-super-lig,Super Lig,turkey,Turkey,0,0,probe
soccer-usa-major-league-soccer,Major League Soccer,usa,USA,11,2,feed
soccer-usa-national-premier-soccer-league,National Premier Soccer League,usa,USA,1,2,feed
soccer-usa-national-womens-soccer-league,National Womens Soccer League,usa,USA,7,2,feed
soccer-usa-tbf4a-usa-women-s-premier-soccer-league-wpsl,USA Women's Premier Soccer League (WPSL),usa,USA,1,2,feed
soccer-usa-usl-championship,USL Championship,usa,USA,12,2,feed
soccer-usa-usl-league-one,USL League One,usa,USA,4,2,feed
soccer-usa-usl-league-two,USL League Two,usa,USA,20,2,feed
soccer-uganda-cup,Cup,uganda,Uganda,0,0,probe
soccer-uganda-first-division,First Division,uganda,Uganda,0,0,probe
soccer-uganda-premier-league,Premier League,uganda,Uganda,0,0,probe
soccer-uganda-super-cup,Super Cup,uganda,Uganda,0,0,probe
soccer-ukraine-premier-league,Premier League,ukraine,Ukraine,0,0,probe
soccer-ukraine-super-cup,Super Cup,ukraine,Ukraine,0,0,probe
soccer-united-arab-emirates-fa-cup,FA Cup,united-arab-emirates,United Arab Emirates,0,0,probe
soccer-united-arab-emirates-super-cup,Super Cup,united-arab-emirates,United Arab Emirates,0,0,probe
soccer-uruguay-primera-division,Primera Division,uruguay,Uruguay,1,2,"feed,probe"
soccer-uruguay-segunda-division,Segunda Division,uruguay,Uruguay,0,0,probe
soccer-uruguay-super-cup,Supercopa Uruguaya,uruguay,Uruguay,0,0,probe
soccer-uzbekistan-cup,Cup,uzbekistan,Uzbekistan,0,0,probe
soccer-venezuela-primera-division,Primera Division,venezuela,Venezuela,0,0,probe
soccer-venezuela-segunda-division,Segunda Division,venezuela,Venezuela,0,0,probe
soccer-vietnam-super-cup,Super Cup,vietnam,Vietnam,0,0,probe
soccer-wales-premier-league,Cymru Premier,wales,Wales,0,0,probe
soccer-wales-cymru-premier,Cymru Premier,wales,Wales,0,0,probe
soccer-zambia-cup,Cup,zambia,Zambia,0,0,probe
soccer-zambia-super-league,Super League,zambia,Zambia,0,0,probe
